Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,NC,P,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
OPRE,6366,501,,8,,2,1,,1,2,,,,,,,,5,0,"Leach, Sonia E","Bu, Like",,,,,sel120030,sonia leach
OPRE,6367,001,,39,,,,,,,,,,,,,,,0,"Parks, David","Bansal, Aagosh",,,,,dxp153830,david parks
OPRE,6369,501,,7,7,3,2,5,,,,,,,,,,2,0,"Subramoniam, Ramesh","Krishnan, Raghavi",,,,,gxd052000,eugene deluke
OPRE,6370,0W1,,10,,2,2,3,,1,,,,,,,,2,1,"Frazelle, Andrew E","Rasulov, Toghrul",,,,,axm110431,alp muharremoglu
OPRE,6370,501,,18,2,2,4,,,,,,,,,,,,0,"Sabri, Ehap H","Krishnan, Raghavi",,,,,exs055000,ehap sabri
OPRE,6371,0W1,,6,2,2,1,,,,,,,,1,,,3,1,"Katok, Elena M","Shetty, Pratik Kishore",,,,,emk120030,elena katok
OPRE,6371,501,,7,4,2,1,,,,,,,,,,,3,1,"Katok, Elena M","Shetty, Pratik Kishore",,,,,qxc171130,
OPRE,6372,PS1,,7,3,1,,,,,,,,,,,,,0,"Szot, James","Rajamani, Divakar","Koganti, Ramakrishna","Thouin, Mark",,,,james szot
OPRE,6372,PW1,,10,2,2,,,,,,,,,1,,,,0,"Szot, James","Rajamani, Divakar","Koganti, Ramakrishna","Thouin, Mark",,,,james szot
OPRE,6373,PS1,,8,2,,,,,,,,,,,,,,0,"Szot, James","Slaikeu, Karl A","Thouin, Mark",,,,,james szot
OPRE,6373,PW1,,9,1,,1,,,,,,,,,,,,0,"Szot, James","Slaikeu, Karl A","Thouin, Mark",,,,,james szot
OPRE,6378,501,,52,8,1,1,,,,,,,,,,,,0,"Widdifield, David S","Donihakkalu Venkatesh Murthy, Sujith Subrahmanya",,,,,dsw180001,david widdifield
OPRE,6379,501,,6,4,4,2,,2,,,,,,1,,,,0,"Rajamani, Divakar","Mobini Dehkordi, Zahra",,,,,dxr020100,divakar rajamani
OPRE,7343,001,,9,6,6,3,,,,,,,,,,,1,0,"Venkataraman, Ashwin",,,,,,axv190029,ashwin venkataraman
OPRE,7351,001,,,,,,,,,,,,,,,,18,0,"Sethi, Suresh",,,,,,sethi,
PA,3310,001,4,6,1,1,1,,,,,,,,1,1,,,1,"McCaskill, John R","Egukawhore, Oghenekome",,,,,jrm094020,john mccaskill
PA,3333,0W1,1,10,6,1,4,,,,,,,,1,,,,1,"Hoang, Thanh T",,,,,,tth130030,
PA,3378,001,,8,6,4,2,,,,,,,,,2,,,2,"Gorina, Evgenia",,,,,,tth130030,
PA,3380,0W1,,15,,,1,,,,,,,,1,,,,3,"Rabbi, Md. Fazle",,,,,,rvc140130,rashmi chordiya
PA,4355,0W1,13,6,2,1,2,1,,,,,,2,2,2,,,2,"Upoma, Shahrin S",,,,,,ssu170230,shahrin upoma
PA,4390,001,1,8,,1,1,1,,,,,,,,,,,0,"Kiel, Lowell D",,,,,,dkiel,
