Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
PHYS,2126,1U3,10,7,,,,1,,,,,,,,0,"Macalevey, Paul J","Koirala, Pawan",,,,,paulmac,paul macalevey
SMED,5301,0W1,,14,2,,1,,,,,,,,1,0,"Taylor, Stephanie M",,,,,,smt031000,stephanie taylor
COMM,1311,0H3,,3,,2,3,4,2,1,,,1,,3,0,"Moss, Daniel J",,,,,,djm161130,daniel moss
LANG,2V42,0S1,,19,,,,,,,,,,,,0,"Gonzalez, Cristina M",,,,,,cxg042000,cristina gonzalez
RHET,1302,051,10,4,2,1,,1,,,,,,,,1,"Shierry, Addison",,,,,,axs084500,addison shierry
RHET,1302,052,,12,1,,2,,,1,,,,,1,2,"Kirk, Kristina E",,,,,,kek160430,kristina kirk
PSY,3392,0U1,,2,3,,4,4,,2,1,1,,,2,0,"Austin, Kathryn A","Terry, Courtney",,,,,,kathryn austin
CS,6375,MU1,,11,7,1,,,,,,,,,,0,"Nagar, Anurag",,,,,,axn112530,anurag nagar
EE,3302,0U1,4,2,3,3,3,2,,2,,,,,,0,"Kehtarnavaz, Nasser","Wei, Haoran",,,,,nxk019000,nasser kehtarnavaz
SE,6388,MU1,,15,3,,1,,,,,,,,,0,"Smith, Klyne",,,,,,kxs180052,klyne smith
BIS,4306,0W1,5,2,2,1,3,1,,1,,,,,3,1,"Simpson, Carrie M",,,,,,cms131030,carrie simpson
ISIS,4304,051,,4,4,4,2,1,,1,1,,1,,1,0,"Werhnyak, Larissa",,,,,,lxw163630,larissa werhnyak
ENTP,6375,0W1,,12,1,1,2,,1,,,,,,1,1,"Bochsler, Daniel C",,,,,,dcb091000,daniel bochsler
FIN,6352,5U1,,9,2,3,4,1,,,,,,,,0,"Springate, David J",,,,,,spring8,david springate
